,location,food,price,time,vegan,vegetarian,gluten,dairy,eggs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
,Davis Cafe,Beef Chilli with Beans,NULL,L;D,N,N,N,N,N,tomato puree (water,tomato paste),water,beef crumbles (beef,salt,spice extract),cooked kidney beans,seasoned beef (beef,beef stock,salt),diced tomatoes in tomato juice,onions,celery,green peppers,contains less than 2% of: modified food starch,spices,sugar,paprika,dehydrated garlic,yeast extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Broccoli Cheese Soup,NULL,L;D,N,N,Y,Y,N,water,skim milk,broccoli,cheddar cheese (milk,cultures,salt,enzymes),vegetable oil (corn and/or canola),cream,contains less than 2% of: modified food starch,bleached enriched flour (wheat flour,wheat starch,niacin,ferrous sulfate,thiamine mononitrate,riboflavin,folic acid),gelatin,soy protein concentrate,dehydrated onions,cheddar cheese flavor base (cheddar cheese [milk,enzymes],disodium phosphate),yeast extract,sugar,disodium inosinate,disodium guanylate,spice,beta carotene,flavoring,butter (cream,annatto),dehydrated cream (cream,soy lecithin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Chicken Noodle Soup,NULL,L;D,N,N,Y,Y,Y,water,chicken stock,chicken meat,celery,enriched egg noodles (wheat flour,eggs,egg whites,niacin,ferrous sulfate,thiamine mononitrate,riboflavin,folic acid),carrots,contains less than 2% of: onions,modified food starch,bleached enriched flour (wheat flour,wheat starch,salt,yeast extract,gelatin,chicken fat,chicken meat including chicken juices,sugar,maltodextrin,dehydrated whey (milk),soy protein concentrate,flavoring,turmeric,sodium phosphate,spices,beta carotene,dehydrated chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Vegetable Soup,NULL,L;D,N,N,Y,N,N,carrots,diced tomatoes in tomato juice,tomato puree (water,tomato paste),water,potatoes,cabbage,corn,zucchini,beef stock,celery,peas,green beans,bleached enriched flour (wheat flour,wheat starch,niacin,ferrous sulfate,thiamine mononitrate,riboflavin,folic acid),contains less than 2% of: salt,red peppers,yeast extract,barley,sugar,onions,modified food starch,beef fat,maltodextrin,spices,flavoring,dehydrated garlic,dehydrated beef,caramel color,dehydrated beef stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,White Chicken Chilli,NULL,L;D,N,N,N,Y,N,chicken meat,chicken stock,white beans,onions,sour cream cultured light cream,nonfat milk,enzymes,green peppers,celery,chicken fat,rice flour,sea salt,garlic,spices,garlic chili pepper sauce red chili,water,sugar,vinegar,salt,cilantro,cocoa powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Tomato Roasted Red Pepper Bisque,NULL,L;D,N,Y,Y,Y,N,tomato puree (water,tomato paste),cream (milk),roasted red peppers,butter (cream [milk],salt),sugar,onions,contains less than 2% of: canola oil,salt,modified food starch,garlic,spices,smoked paprika,enriched wheat flour (wheat flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),dehydrated onions,paprika extract for color,flavoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Chicken Tenders,8.29,L;D,N,N,Y,Y,Y,chicken tenderloins containing up to 10% solution of water,salt,and sodium phosphate. battered with: water,bleached enriched wheat flour (wheat flour,niacin,reduced iron,thiamine mononitrate,riboflavin,folic acid),modified corn starch,leavening (sodium aluminum phosphate,sodium bicarbonate),spices. breaded with: bleached enriched wheat flour (wheat flour,spices,yellow corn flour,dried whey,yellow corn meal. predusted with: bleached enriched wheat flour (wheat flour,dried egg whites,wheat gluten,soybean oil. breading set in soybean oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,French Fries,3.29,L;D,Y,Y,N,N,N,potatoes,vegetable oil may contain one or more of the following: canola oil,sunflower oil,cottonseed oil,palm oil,corn oil,soybean oil,modified food starch,rice flour,dextrin,salt,leavening disodium dihydrogen pyrophosphate,sodium bicarbonate,dextrose,xanthan gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Cajun French Fries,3.29,L;D,Y,Y,N,N,N,potatoes,vegetable oil may contain one or more of the following: canola oil,sunflower oil,cottonseed oil,palm oil,corn oil,soybean oil,modified food starch,rice flour,dextrin,salt,leavening disodium dihydrogen pyrophosphate,sodium bicarbonate,dextrose,xanthan gum,spices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Sweet Potato French Fries,3.49,L;D,Y,Y,N,N,N,sweet potatoes,vegetable oil contains one or more of the following: high oleic canola,canola,sunflower,sugar,modified food starch corn,tapioca,propylene glycol,rice flour,corn starch,dextrin,salt,natural and artificial flavor,color turmeric,oleoresin paprika,xanthan gum,dextrose,leavening disodium dihydrogen pyrophosphate,sodium bicarbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Tater Tots,NULL,L;D,Y,Y,N,N,N,potatoes,vegetable oil contains one or more of the following oils: canola,soybean,cottonseed,sunflower,corn. contains 2 or less of dextrose,natural flavor,salt,sodium acid pyrophosphate added to maintain natural color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Terranean Grain Bowl with Chicken,11.89,L;D,N,N,N,Y,N, grilled chicken breast,mixed greens,tomatoes,black olives,feta cheese crumbles,cucumber,and tzatziki sauce,chicken. may contain up to 4% retained water,greek yogurt [cultured pasteurized grade a cow''''s milk,skim milk,cream,active bacterial cultures (s. thermophilus,l. bulgaricus,l. acidophilus,b. lactis)],contains 2% or less of: lemon juice,garlic puree (garlic,citric acid),purified sea salt,spices,feta cheese (pasteurized milk,salt,cheese cultures,enzymes),potato starch and powdered cellulose (added to prevent caking),natamycin (a natural mold inhibitor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Cafe,Terranean Grain Bowl with Falafel,11.89,L;D,N,Y,N,Y,N,fried falafel with brown rice and quinoa blend,mixed greens,tomatoes,black olives,feta cheese crumbles,cucumber,and tzatziki sauce,chickpeas,water,yellow onion,parsley,jalapeno pepper,garlic,cilantro,salt,spices,baking soda,vegetable oil canola and/or soybean and/or corn and/or sunflower with tbhq and citric acid as preservatives,greek yogurt [cultured pasteurized grade a cow''''s milk,skim milk,cream,active bacterial cultures (s. thermophilus,l. bulgaricus,l. acidophilus,b. lactis)],contains 2% or less of: lemon juice,garlic puree (garlic,citric acid),purified sea salt,feta cheese (pasteurized milk,cheese cultures,enzymes),potato starch and powdered cellulose (added to prevent caking),natamycin (a natural mold inhibitor),jalapeno peppers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
